,crypto_history
0,1inch
1,Aave
2,Algorand
3,ApeCoin
4,Arweave
5,avalanche
6,Axie Infinity
7,Basic Attention Token
8,Binance USD
9,Bitcoin BEP2
10,bitcoin cash
11,Bitcoin Gold
12,Bitcoin SV
13,bitcoin
14,BitTorrent (New)
15,BNB
16,cardano
17,Celo
18,Celsius
19,chainlink
20,Chiliz
21,Compound
22,Convex Finance
23,cosmos
24,Cronos
25,Current Crypto leaderboard
26,Curve DAO Token
27,dai
28,Dash
29,Decentraland
30,Decred
31,dogecoin
32,eCash
33,Elrond
34,Enjin Coin
35,EOS
36,ethereum classic
37,ethereum
38,Fantom
39,Fei USD
40,Filecoin
41,Flow
42,ftx token
43,Gala
44,Gnosis
45,Hedera
46,Helium
47,Holo
48,Huobi Token
49,Internet Computer
50,IOTA
51,Kava
52,Klaytn
53,KuCoin Token
54,Kusama
55,Lido DAO
56,litecoin
57,Loopring
58,Maker
59,Mina
60,monero
61,near protocol
62,NEM
63,Neo
64,Neutrino USD
65,Nexo
66,OKB
67,PancakeSwap
68,Pax Dollar
69,PAX Gold
70,polkadot
71,polygon
72,Qtum
73,Quant
74,Shiba Inu
75,solana
76,Stacks
77,stellar
78,STEPN
79,Synthetix
80,tether
81,Tezos
82,The Graph
83,The Sandbox
84,Theta Network
85,THORChain
86,tron
87,TrueUSD
88,Trust Wallet Token
89,uniswap
90,unus sed leo
91,usd coin
92,USDD
93,VeChain
94,Waves
95,wrapped bitcoin
96,xrp
97,Zcash
98,Zilliqa
